date,actual_demand,predicted_demand,error,absolute_error
2025-08-25,14024,14116.0,-92.0,92.0
2025-08-26,13902,14024.0,-122.0,122.0
2025-08-27,13955,13902.0,53.0,53.0
2025-08-28,13851,13955.0,-104.0,104.0
2025-08-29,13959,13851.0,108.0,108.0
2025-08-30,14063,13959.0,104.0,104.0
2025-08-31,14327,14063.0,264.0,264.0
2025-09-01,14545,14327.0,218.0,218.0
2025-09-02,14244,14545.0,-301.0,301.0
2025-09-03,14458,14244.0,214.0,214.0
2025-09-04,14408,14458.0,-50.0,50.0
2025-09-05,15142,14408.0,734.0,734.0
2025-09-06,14211,15142.0,-931.0,931.0
2025-09-07,14003,14211.0,-208.0,208.0
2025-09-08,14679,14003.0,676.0,676.0
2025-09-09,14423,14679.0,-256.0,256.0
2025-09-10,15120,14423.0,697.0,697.0
2025-09-11,14588,15120.0,-532.0,532.0
2025-09-12,15124,14588.0,536.0,536.0
2025-09-13,14538,15124.0,-586.0,586.0
2025-09-14,14532,14538.0,-6.0,6.0
2025-09-15,15100,14532.0,568.0,568.0
2025-09-16,14679,15100.0,-421.0,421.0
2025-09-17,14139,14679.0,-540.0,540.0
2025-09-18,14876,14139.0,737.0,737.0
2025-09-19,13922,14876.0,-954.0,954.0
2025-09-20,14579,13922.0,657.0,657.0
2025-09-21,14785,14579.0,206.0,206.0
2025-09-22,14088,14785.0,-697.0,697.0
2025-09-23,14557,14088.0,469.0,469.0
2025-09-24,14251,14557.0,-306.0,306.0
2025-09-25,14884,14251.0,633.0,633.0
2025-09-26,14176,14884.0,-708.0,708.0
2025-09-27,14255,14176.0,79.0,79.0
2025-09-28,14284,14255.0,29.0,29.0
2025-09-29,14398,14284.0,114.0,114.0
2025-09-30,14498,14398.0,100.0,100.0
2025-10-01,13753,14498.0,-745.0,745.0
2025-10-02,13736,13753.0,-17.0,17.0
2025-10-03,14152,13736.0,416.0,416.0
2025-10-04,13460,14152.0,-692.0,692.0
2025-10-05,14038,13460.0,578.0,578.0
2025-10-06,14081,14038.0,43.0,43.0
2025-10-07,14594,14081.0,513.0,513.0
2025-10-08,14317,14594.0,-277.0,277.0
2025-10-09,13802,14317.0,-515.0,515.0
2025-10-10,13703,13802.0,-99.0,99.0
2025-10-11,13866,13703.0,163.0,163.0
2025-10-12,14134,13866.0,268.0,268.0
2025-10-13,13708,14134.0,-426.0,426.0
2025-10-14,14502,13708.0,794.0,794.0
2025-10-15,13690,14502.0,-812.0,812.0
2025-10-16,14118,13690.0,428.0,428.0
2025-10-17,13175,14118.0,-943.0,943.0
2025-10-18,14065,13175.0,890.0,890.0
2025-10-19,13862,14065.0,-203.0,203.0
2025-10-20,14029,13862.0,167.0,167.0
2025-10-21,13443,14029.0,-586.0,586.0
2025-10-22,13432,13443.0,-11.0,11.0
2025-10-23,13431,13432.0,-1.0,1.0
2025-10-24,13644,13431.0,213.0,213.0
2025-10-25,13484,13644.0,-160.0,160.0
2025-10-26,13811,13484.0,327.0,327.0
2025-10-27,13451,13811.0,-360.0,360.0
2025-10-28,13536,13451.0,85.0,85.0
2025-10-29,13495,13536.0,-41.0,41.0
2025-10-30,13893,13495.0,398.0,398.0
2025-10-31,13801,13893.0,-92.0,92.0
2025-11-01,17062,13801.0,3261.0,3261.0
2025-11-02,15940,17062.0,-1122.0,1122.0
2025-11-03,16313,15940.0,373.0,373.0
2025-11-04,16371,16313.0,58.0,58.0
2025-11-05,16650,16371.0,279.0,279.0
2025-11-06,16124,16650.0,-526.0,526.0
2025-11-07,16169,16124.0,45.0,45.0
2025-11-08,16774,16169.0,605.0,605.0
2025-11-09,16087,16774.0,-687.0,687.0
2025-11-10,16713,16087.0,626.0,626.0
2025-11-11,16259,16713.0,-454.0,454.0
2025-11-12,16533,16259.0,274.0,274.0
2025-11-13,15879,16533.0,-654.0,654.0
2025-11-14,16107,15879.0,228.0,228.0
2025-11-15,16456,16107.0,349.0,349.0
2025-11-16,15511,16456.0,-945.0,945.0
2025-11-17,15702,15511.0,191.0,191.0
2025-11-18,16446,15702.0,744.0,744.0
2025-11-19,15885,16446.0,-561.0,561.0
2025-11-20,16494,15885.0,609.0,609.0
2025-11-21,16486,16494.0,-8.0,8.0
2025-11-22,16372,16486.0,-114.0,114.0
2025-11-23,15881,16372.0,-491.0,491.0
2025-11-24,16030,15881.0,149.0,149.0
2025-11-25,15908,16030.0,-122.0,122.0
2025-11-26,15725,15908.0,-183.0,183.0
2025-11-27,16314,15725.0,589.0,589.0
2025-11-28,16261,16314.0,-53.0,53.0
2025-11-29,16344,16261.0,83.0,83.0
2025-11-30,16219,16344.0,-125.0,125.0
2025-12-01,17491,16219.0,1272.0,1272.0
2025-12-02,17851,17491.0,360.0,360.0
2025-12-03,17666,17851.0,-185.0,185.0
2025-12-04,18464,17666.0,798.0,798.0
2025-12-05,17593,18464.0,-871.0,871.0
2025-12-06,18222,17593.0,629.0,629.0
2025-12-07,18338,18222.0,116.0,116.0
2025-12-08,17863,18338.0,-475.0,475.0
2025-12-09,17669,17863.0,-194.0,194.0
2025-12-10,17895,17669.0,226.0,226.0
2025-12-11,17274,17895.0,-621.0,621.0
2025-12-12,17930,17274.0,656.0,656.0
2025-12-13,18471,17930.0,541.0,541.0
2025-12-14,17756,18471.0,-715.0,715.0
2025-12-15,18318,17756.0,562.0,562.0
2025-12-16,17957,18318.0,-361.0,361.0
2025-12-17,18444,17957.0,487.0,487.0
2025-12-18,18026,18444.0,-418.0,418.0
2025-12-19,18516,18026.0,490.0,490.0
2025-12-20,18636,18516.0,120.0,120.0
2025-12-21,18536,18636.0,-100.0,100.0
2025-12-22,19088,18536.0,552.0,552.0
2025-12-23,18247,19088.0,-841.0,841.0
2025-12-24,18487,18247.0,240.0,240.0
2025-12-25,18047,18487.0,-440.0,440.0
2025-12-26,18024,18047.0,-23.0,23.0
2025-12-27,18070,18024.0,46.0,46.0
2025-12-28,18156,18070.0,86.0,86.0
2025-12-29,18719,18156.0,563.0,563.0
2025-12-30,18211,18719.0,-508.0,508.0
2025-12-31,18180,18211.0,-31.0,31.0
